"","date","image","objective","time_pf","num_of_cells","meiotic","stage","cell_diameter_um","spindle_length__asters_um","spindle_length_poles_um","spindle_width_um","spindle_aspect_ratio_asters_um","spindle_aspect_ratio_poles_um","centrosome","metaphase_plate_lengt_h_um","metaphase_plate_width_um","metaphase_plate_aspect_ratio_um","distance_between_chromosomes_um","microscope","fixation","organism","phylum","classification","genome","chromosomes","day","cleavage_type","num_of_cells_CAT","num_of_cells_NUM","classification_CAT","phylum_CAT","organism_CAT","cleavage_type_CAT","fixation_CAT","microscope_CAT","stage_CAT","astere.to.pole_distance_AVG","inner_aster_diameter_AVG","polar_body_diameter_AVG","outer_aster_diameter_AVG"
"351","2010-04-23 00:00:00","042310_CmTub-1c-meta_04","40x-olf",390,"1",0,"m",97.1,46.3,26.9,18.4,2.51630434782609,1.46195652173913,1,18.5,3.4,5.44117647058824,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",1,1,3,3,3,3,2,23,2,3.25,14.55,7.35,78.45
"352","2010-04-23 00:00:00","042310_CmTub-1c-meta_05","40x-olf",390,"1",0,"m",93.2,37.1,26,15.5,2.39354838709677,1.67741935483871,1,11.4,3.3,3.45454545454546,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",1,1,3,3,3,3,2,23,2,0,13,7.35,47.6
"353","2010-04-23 00:00:00","042310_CmTub-1c-meta_06","40x-olf",390,"1",0,"m",102,45.4,29.1,15.2,2.98684210526316,1.91447368421053,1,16.1,4.2,3.83333333333333,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",1,1,3,3,3,3,2,23,2,4.2,11.9,7.35,58.25
"354","2010-04-23 00:00:00","042310_CmTub-1c-meta_07","40x-olf",390,"1",0,"m",97.5,43.3,24.8,18.4,2.35326086956522,1.34782608695652,1,15.9,3.1,5.12903225806452,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",1,1,3,3,3,3,2,23,2,4.6,14.15,7.6,62.35
"362","2010-04-23 00:00:00","042310_CmTub-2c-meta_01","40x-olf",390,"2",0,"m",74,37.6,23.4,13.8,2.72463768115942,1.69565217391304,1,10.4,4.3,2.41860465116279,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",2,2,3,3,3,3,2,23,2,0,12.3,7.65,46.7
"363","2010-04-23 00:00:00","042310_CmTub-2c-meta_01","40x-olf",390,"2",0,"m",75.5,35.5,25,13.5,2.62962962962963,1.85185185185185,1,12.5,4.2,2.97619047619048,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",2,2,3,3,3,3,2,23,2,0,12.05,7.65,38.35
"364","2010-04-23 00:00:00","042310_CmTub-2c-meta_02","40x-olf",390,"2",0,"m",74.7,38.3,23.8,14.9,2.57046979865772,1.59731543624161,1,13.6,3.9,3.48717948717949,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",2,2,3,3,3,3,2,23,2,2.35,14.35,7.65,49.6
"365","2010-04-23 00:00:00","042310_CmTub-2c-meta_02","40x-olf",390,"2",0,"m",73.9,38,22.7,15.1,2.51655629139073,1.50331125827815,1,14.4,3.2,4.5,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",2,2,3,3,3,3,2,23,2,2.35,13.55,7.65,46.6
"366","2010-04-23 00:00:00","042310_CmTub-8c_03","40x-olf",390,"8",0,"m",57,27,20.5,14,1.92857142857143,1.46428571428571,1,12.5,1.6,7.8125,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",4,8,3,3,3,3,2,23,2,0,6.55,7.65,26.35
"368","2010-04-23 00:00:00","042310_CmTub-8c-meta_01","40x-olf",390,"8",0,"m",47.5,22.6,16.9,13.7,1.64963503649635,1.23357664233577,1,12.9,4.4,2.93181818181818,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",4,8,3,3,3,3,2,23,2,1.95,7.3,7.65,30.75
"369","2010-04-23 00:00:00","042310_CmTub-8c-meta_01","40x-olf",390,"8",0,"m",62.9,28.7,18.8,10.2,2.81372549019608,1.84313725490196,1,13,4,3.25,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",4,8,3,3,3,3,2,23,2,1.55,6.1,7.65,32.65
"370","2010-04-23 00:00:00","042310_CmTub-8c-meta_01","40x-olf",390,"8",0,"m",57.4,24.4,17.7,13,1.87692307692308,1.36153846153846,1,13,4.2,3.09523809523809,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",4,8,3,3,3,3,2,23,2,1.65,5.05,7.65,29.3
"371","2010-04-23 00:00:00","042310_CmTub-8c-meta_02","40x-olf",390,"8",0,"m",54.3,25,17.6,12.5,2,1.408,1,10.8,3.2,3.375,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",4,8,3,3,3,3,2,23,2,2.35,5.65,7.65,36.45
"372","2010-04-23 00:00:00","042310_CmTub-8c-meta_02","40x-olf",390,"8",0,"m",55.1,24.1,17.1,8.4,2.86904761904762,2.03571428571429,1,11.7,3.8,3.07894736842105,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",4,8,3,3,3,3,2,23,2,1.85,5.8,7.65,28.15
"373","2010-04-23 00:00:00","042310_CmTub-16c_02","40x-olf",390,"16",0,"m",38.9,21.3,14.4,11.1,1.91891891891892,1.2972972972973,1,11.1,4.5,2.46666666666667,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",5,16,3,3,3,3,2,23,2,0.25,5,6.45,23.55
"376","2010-04-23 00:00:00","042310_CmTub-32c_01","40x-olf",390,"32",0,"m",37.8,20.7,16.1,13.5,1.53333333333333,1.19259259259259,1,12.6,4.8,2.625,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",10,32,3,3,3,3,2,23,2,0.5,4.35,7.8,24.3
"377","2010-04-23 00:00:00","042310_CmTub-32c_01","40x-olf",390,"32",0,"m",38.4,19.9,13.8,11.4,1.74561403508772,1.21052631578947,1,10.5,5.3,1.9811320754717,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-04-23 00:00:00","sp",10,32,3,3,3,3,2,23,2,1.1,5.05,7.8,21.95
"380","2010-04-23 00:00:00","052210_CmTub16c_01","40x-olf",390,"16",0,"m",39.1,20.5,16.6,12,1.70833333333333,1.38333333333333,1,13.2,4.6,2.8695652173913,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",5,16,3,3,3,3,2,23,2,0.45,7,7,24.9
"383","2010-04-23 00:00:00","052210_CmTub18h_01","40x-olf",390,"128",0,"m",19.8,12.3,11.2,7.7,1.5974025974026,1.45454545454545,1,9.2,3.5,2.62857142857143,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",9,128,3,3,3,3,2,23,2,0,3,7.3,10.65
"385","2010-04-23 00:00:00","052210_CmTub18h_03","40x-olf",390,"128",0,"m",26.6,15.2,13.3,8.9,1.70786516853933,1.49438202247191,1,11.8,4.5,2.62222222222222,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",9,128,3,3,3,3,2,23,2,0,3.65,7.3,17.45
"386","2010-04-23 00:00:00","052210_CmTub32c_01","40x-olf",390,"32",0,"m",48.5,24.8,20.9,12.1,2.0495867768595,1.72727272727273,1,11.3,4,2.825,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",10,32,3,3,3,3,2,23,2,0,8.15,7.3,30.55
"387","2010-04-23 00:00:00","052210_CmTub32c_02","40x-olf",390,"32",0,"m",35.2,20.8,16.4,11.7,1.77777777777778,1.4017094017094,1,12.8,3.6,3.55555555555556,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",10,32,3,3,3,3,2,23,2,0,6,7.3,24.3
"388","2010-04-23 00:00:00","052210_CmTub32c_02","40x-olf",390,"32",0,"m",38,22.1,17.8,10.3,2.14563106796116,1.72815533980583,1,12.7,4.6,2.76086956521739,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",10,32,3,3,3,3,2,23,2,0,5.6,7.3,28
"389","2010-04-23 00:00:00","052210_CmTub64c_02","40x-olf",390,"64",0,"m",26.3,17,12.6,8.4,2.02380952380952,1.5,1,10.3,4.1,2.51219512195122,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",8,64,3,3,3,3,2,23,2,0,4.55,7.3,18.6
"390","2010-04-23 00:00:00","052210_CmTub64c_02","40x-olf",390,"64",0,"m",29,16.8,13.9,8.8,1.90909090909091,1.57954545454545,1,11.4,3.2,3.5625,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",8,64,3,3,3,3,2,23,2,0,4,7.3,16.2
"391","2010-04-23 00:00:00","052210_CmTub64c_02","40x-olf",390,"64",0,"m",27.7,17.2,13.9,8.3,2.07228915662651,1.67469879518072,1,9.1,5.1,1.7843137254902,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",8,64,3,3,3,3,2,23,2,0,3.15,7.3,17.7
"392","2010-04-23 00:00:00","052210_CmTub64c_02","40x-olf",390,"64",0,"m",36.1,22.4,17.2,9.5,2.35789473684211,1.81052631578947,1,11.4,5.6,2.03571428571429,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",8,64,3,3,3,3,2,23,2,0,4,7.3,25
"393","2010-04-23 00:00:00","052210_CmTub64c_03","40x-olf",390,"64",0,"m",25.4,15,12.1,6.1,2.45901639344262,1.98360655737705,1,10.7,4.3,2.48837209302326,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",8,64,3,3,3,3,2,23,2,0,2.75,7.8,15
"394","2010-04-23 00:00:00","052210_CmTub64c_04","40x-olf",390,"64",0,"m",35.2,20.2,15.4,10.8,1.87037037037037,1.42592592592593,1,10.8,3.7,2.91891891891892,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",8,64,3,3,3,3,2,23,2,0,4.1,6.35,21.15
"395","2010-04-23 00:00:00","052210_CmTub64c_04","40x-olf",390,"64",0,"m",36.2,20.5,16,10.9,1.88073394495413,1.46788990825688,1,11.8,4.8,2.45833333333333,0,"olf","df","cerebratulus_marginatus","nemertea","bpl",NA,32,"2010-05-22 00:00:00","sp",8,64,3,3,3,3,2,23,2,0,4.65,6.35,22.75
"396","2014-03-24 00:00:00","ciona_t30m_0","40x",30,"1",0,"m",114.41892,45.09813,23.57586,14.95725,3.01513513513513,1.57621621621622,1,10.36497,5.15823,2.00940438871473,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",1,1,1,4,4,4,2,1,2,6.3063,12.03048,6.35,93.1392
"397","2014-03-24 00:00:00","ciona_t30m_1","40x",30,"2",0,"m",115.25976,41.5569,27.34347,11.01177,3.77386196769457,2.48311306901615,1,9.18456,8.81265,1.04220183486239,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,4.260795,12.69345,6.35,88.99968
"398","2014-03-24 00:00:00","ciona_t30m_1","40x",30,"2",0,"m",113.41638,40.16628,23.43033,12.75813,3.14828897338403,1.83650190114068,1,10.38114,3.78378,2.74358974358974,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,4.72164,11.682825,6.35,77.58366
"399","2014-03-24 00:00:00","ciona_t30m_2","40x",30,"2",0,"m",121.29117,52.42314,26.26008,17.4636,3.00185185185185,1.5037037037037,1,9.34626,3.68676,2.53508771929825,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,6.6297,12.119415,6.35,80.583195
"400","2014-03-24 00:00:00","ciona_t30m_2","40x",30,"1",0,"m",141.6492,71.58459,24.40053,14.52066,4.92984409799555,1.6804008908686,1,10.20327,3.02379,3.37433155080214,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",1,1,1,4,4,4,2,1,2,15.79809,16.29936,6.35,87.18864
"401","2014-03-24 00:00:00","ciona_t30m_6","40x",30,"1",0,"m",154.18095,71.84331,24.12564,12.91983,5.56070087609512,1.86733416770964,1,10.0254,3.00762,3.33333333333333,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",1,1,1,4,4,4,2,1,2,12.22452,13.89003,6.35,87.65757
"402","2014-03-24 00:00:00","ciona_t30m_7","40x",30,"2",0,"m",86.91375,43.86921,28.34601,17.52828,2.50276752767528,1.61715867158672,1,14.48832,6.74289,2.14868105515587,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,5.41695,14.03556,6.35,61.41366
"404","2014-03-24 00:00:00","ciona_t30m_10","40x",30,"2",0,"m",109.56792,40.76457,22.638,13.30791,3.06318347509113,1.70109356014581,1,9.50796,4.55994,2.08510638297872,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,4.5276,13.08153,6.35,61.033665
"405","2014-03-24 00:00:00","ciona_t30m_12","40x",30,"2",0,"m",95.61321,37.12632,25.67796,10.6722,3.47878787878788,2.40606060606061,1,9.62115,NA,NA,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,3.808035,13.396845,6.35,67.57443
"406","2014-03-24 00:00:00","ciona_t30m_14","40x",30,"2",0,"m",106.20456,43.3356,26.97156,27.44049,1.57925751325869,0.982911019446081,1,12.33771,3.89697,3.16597510373444,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,0,14.98959,6.35,62.375775
"407","2014-03-24 00:00:00","ciona_t30m_15","40x",30,"2",0,"m",95.98512,43.4973,23.54352,11.70708,3.71546961325967,2.01104972375691,1,NA,NA,NA,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,2.78124,13.671735,6.35,52.84356
"408","2014-03-24 00:00:00","ciona_t30m_16","40x",30,"2",0,"m",112.97979,46.69896,29.86599,14.89257,3.1357220412595,2.00542888165038,1,8.8935,3.89697,2.28215767634855,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,4.39824,12.087075,6.35,63.119595
"409","2014-03-24 00:00:00","ciona_t30m_16","40x",30,"2",0,"m",112.67256,45.7611,24.40053,12.64494,3.61892583120205,1.92966751918159,1,8.11734,3.26634,2.48514851485149,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,6.637785,10.62369,6.35,69.46632
"410","2014-03-24 00:00:00","ciona_t30m_17","40x",30,"2",0,"m",97.23021,40.92627,24.30351,11.88495,3.44353741496599,2.04489795918367,1,10.05774,5.3361,1.88484848484848,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,3.872715,10.001145,6.35,60.91239
"411","2014-03-24 00:00:00","ciona_t30m_17","40x",30,"2",0,"m",91.45752,39.81054,21.44142,11.85261,3.35879945429741,1.80900409276944,1,10.3488,NA,NA,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,2.81358,54.048225,6.35,41.953065
"412","2014-03-24 00:00:00","ciona_t30m_19","40x",30,"2",0,"m",115.56699,51.17805,25.7103,14.2296,3.59659090909091,1.80681818181818,1,14.08407,4.851,2.90333333333333,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,7.84245,17.746575,6.35,68.33442
"413","2014-03-24 00:00:00","ciona_t30m_19","40x",30,"2",0,"m",118.55844,56.69202,24.23883,12.2892,4.61315789473684,1.97236842105263,1,12.04665,3.28251,3.66995073891626,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,10.987515,17.261475,6.35,69.555255
"414","2014-03-24 00:00:00","ciona_t60m_0","40x",60,"2",0,"m",115.56699,57.4035,25.50009,16.29936,3.5218253968254,1.56448412698413,1,12.19218,2.60337,4.6832298136646,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,5.910135,NA,6.35,84.512505
"418","2014-03-24 00:00:00","ciona_t60m_3","40x",60,"2",0,"m",105.81648,50.04615,23.54352,10.8339,4.61940298507463,2.17313432835821,1,9.81519,3.78378,2.59401709401709,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,6.72672,NA,6.00911,62.521305
"421","2014-03-24 00:00:00","ciona_t60m_5","40x",60,"2",0,"m",113.14149,35.50932,24.70776,13.47655,2.634896914,1.833389109,1,9.33009,5.38461,1.73273273273273,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",2,2,1,4,4,4,2,1,2,6.45183,10.001145,6.00911,59.79666
"422","2014-03-24 00:00:00","ciona_t60m_8","40x",60,"4",0,"m",92.29836,34.97571,19.22613,10.86624,3.21875,1.76934523809524,1,10.89858,4.34973,2.50557620817844,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",3,4,1,4,4,4,2,1,2,NA,16.10532,6.00911,46.05216
"423","2014-03-24 00:00:00","ciona_t60m_8","40x",60,"4",0,"m",90.21243,34.13487,17.41509,13.50195,2.52814371257485,1.28982035928144,1,12.22452,5.06121,2.41533546325879,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",3,4,1,4,4,4,2,1,2,3.94548,12.782385,6.00911,51.946125
"426","2014-03-24 00:00:00","ciona_t120m_0","40x",120,"8",0,"m",70.0161,19.63038,13.17855,10.72071,1.83107088989442,1.22926093514329,1,9.8637,3.18549,3.09644670050761,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,2.11827,4.972275,6.00911,17.4636
"427","2014-03-24 00:00:00","ciona_t120m_0","40x",120,"8",0,"m",77.59983,19.11294,13.95471,9.03903,2.11449016100179,1.5438282647585,1,8.27904,3.26634,2.53465346534653,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,1.447215,3.921225,6.00911,21.15036
"428","2014-03-24 00:00:00","ciona_t120m_2","40x",120,"4",0,"m",87.68991,19.95378,13.38876,8.7318,2.28518518518519,1.53333333333333,1,8.47308,2.84592,2.97727272727273,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",3,4,1,4,4,4,2,1,2,1.14807,3.161235,6.00911,26.154975
"429","2014-03-24 00:00:00","ciona_t120m_2","40x",120,"4",0,"m",83.50188,20.5359,13.9062,8.085,2.54,1.72,1,8.42457,2.06976,4.0703125,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",3,4,1,4,4,4,2,1,2,0.541695,3.678675,6.00911,25.27371
"430","2014-03-24 00:00:00","ciona_t120m_3","40x",120,"8",0,"m",63.49959,19.59804,15.0381,11.70708,1.67403314917127,1.28453038674033,1,12.33771,2.27997,5.4113475177305,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,0,7.624155,6.00911,40.79691
"431","2014-03-24 00:00:00","ciona_t120m_3","40x",120,"8",0,"m",68.28591,25.92051,15.89511,9.2169,2.81228070175439,1.72456140350877,1,10.3488,2.1021,4.92307692307692,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,0.75999,8.642865,6.00911,37.93482
"432","2014-03-24 00:00:00","ciona_t120m_4","40x",120,"8",0,"m",65.56935,20.50356,14.3913,9.15222,2.24028268551237,1.57243816254417,1,8.79648,2.55486,3.44303797468354,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,0.816585,5.30376,6.00911,23.38182
"433","2014-03-24 00:00:00","ciona_t120m_5","40x",120,"8",0,"m",50.06232,20.42271,13.77684,10.9956,1.85735294117647,1.25294117647059,1,8.78031,1.617,5.43,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,2.03742,5.36844,6.00911,22.00737
"435","2014-03-24 00:00:00","ciona_t120m_7","40x",120,"16",0,"m",57.85626,27.19794,17.77083,9.75051,2.7893864013267,1.82255389718076,1,8.4084,2.31231,3.63636363636364,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",5,16,1,4,4,4,2,1,2,0,10.146675,6.00911,35.52549
"436","2014-03-24 00:00:00","ciona_t120m_9","40x",120,"8",0,"m",66.39402,29.33238,17.83551,9.99306,2.93527508090615,1.78478964401294,1,6.17694,1.7787,3.47272727272727,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,1.37445,6.69438,6.00911,35.8974
"437","2014-03-24 00:00:00","ciona_t120m_9","40x",120,"8",0,"m",69.95142,27.68304,15.81426,13.19472,2.09803921568627,1.19852941176471,1,8.18202,2.27997,3.5886524822695,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,2.92677,7.139055,6.00911,24.392445
"440","2014-03-24 00:00:00","ciona_t120m_14","40x",120,"4",0,"m",94.40046,37.20717,22.73502,10.68837,3.48108925869894,2.12708018154312,1,7.08246,4.22037,1.67816091954023,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",3,4,1,4,4,4,2,1,2,2.34465,10.405395,6.97931,36.180375
"441","2014-03-24 00:00:00","ciona_t120m_15","40x",120,"4",0,"m",52.3908,19.82442,14.34279,11.54538,1.71708683473389,1.24229691876751,1,8.34372,2.61954,3.18518518518519,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",3,4,1,4,4,4,2,1,2,1.35828,5.133975,5.855495,23.600115
"442","2014-03-24 00:00:00","ciona_t120m_16","40x",120,"8",0,"m",43.83687,20.98866,15.37767,7.21182,2.91031390134529,2.13228699551569,1,7.72926,2.7489,2.81176470588235,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,0,4.212285,5.855495,10.906665
"443","2014-03-24 00:00:00","ciona_t120m_17","40x",120,"8",0,"m",51.37209,25.58094,17.26956,12.03048,2.1263440860215,1.43548387096774,1,10.00923,2.39316,4.18243243243243,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,1.786785,5.31993,5.855495,26.737095
"444","2014-03-24 00:00:00","ciona_t120m_17","40x",120,"8",0,"m",49.38318,22.39545,13.48578,10.9956,2.03676470588235,1.22647058823529,1,9.3786,1.617,5.8,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",4,8,1,4,4,4,2,1,2,1.43913,6.605445,5.855495,26.850285
"449","2014-03-24 00:00:00","ciona_t180m_1","40x",180,"32",0,"m",54.1695,22.638,14.8764,9.2169,2.45614035087719,1.6140350877193,1,9.0552,1.617,5.6,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",10,32,1,4,4,4,2,1,2,1.66551,6.217365,5.855495,26.38944
"450","2014-03-24 00:00:00","ciona_t180m_1","40x",180,"32",0,"m",45.1143,21.10185,13.95471,9.03903,2.3345259391771,1.5438282647585,1,8.79648,1.48764,5.91304347826087,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",10,32,1,4,4,4,2,1,2,1.66551,4.956105,5.855495,21.8295
"451","2014-03-24 00:00:00","ciona_t180m_1","40x",180,"32",0,"m",45.63174,20.79462,14.18109,9.94455,2.09105691056911,1.4260162601626,1,10.42965,2.81358,3.70689655172414,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",10,32,1,4,4,4,2,1,2,1.53615,5.78886,5.855495,24.07713
"456","2014-03-24 00:00:00","ciona_t180m_4","40x",180,"16",0,"m",54.13716,21.1827,13.67982,5.74035,3.69014084507042,2.3830985915493,1,6.32247,2.2638,2.79285714285714,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",5,16,1,4,4,4,2,1,2,2.174865,5.699925,5.855495,21.627375
"458","2014-03-24 00:00:00","ciona_t180m_5","40x",180,"32",0,"m",34.57146,18.93507,12.06282,6.56502,2.88423645320197,1.83743842364532,1,6.6297,2.47401,2.6797385620915,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",10,32,1,4,4,4,2,1,2,1.948485,3.274425,5.855495,15.94362
"459","2014-03-24 00:00:00","ciona_t180m_6","40x",180,"32",0,"m",43.0122,20.11548,13.29174,8.74797,2.29944547134935,1.51940850277264,1,9.49179,2.37699,3.99319727891157,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",10,32,1,4,4,4,2,1,2,1.625085,4.309305,5.855495,22.13673
"460","2014-03-24 00:00:00","ciona_t180m_9","40x",180,"32",0,"m",40.27947,20.39037,12.59643,8.34372,2.4437984496124,1.50968992248062,1,7.68075,2.60337,2.95031055900621,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",10,32,1,4,4,4,2,1,2,1.47147,4.65696,5.855495,28.87962
"461","2014-03-24 00:00:00","ciona_t180m_10","40x",180,"32",0,"m",54.15333,24.28734,14.76321,5.96673,4.07046070460705,2.47425474254743,1,6.56502,1.89189,3.47008547008547,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",10,32,1,4,4,4,2,1,2,2.530605,5.12589,5.855495,28.176225
"462","2014-03-24 00:00:00","ciona_t180m_12","40x",180,"32",0,"m",59.32773,24.51372,13.45344,6.20928,3.94791666666667,2.16666666666667,1,6.71055,2.27997,2.94326241134752,0,"mm40","df","ciona_intestinalis","chordata","bd",115,28,"2014-03-24 00:00:00","b",10,32,1,4,4,4,2,1,2,2.740815,5.053125,5.855495,31.33746
